indice_tiempo,indice_precios_exportacion,var_mensual_porcentaje,var_anual_porcentaje,indice_precios_importacion,var_porcentaje_precio_1,var_porcentaje_precio_2,indice_terminos_intercambio,var_porcentaje_terminos_intercambio_1,var_porcentaje_terminos_intercambio_2
1993-04-01,85.8,0.7042253521126751,-1.2658227848101333,104.0,-0.5736137667303964,1.2658227848101333,82.5,1.285211267605657,-2.499999999999969
1993-07-01,88.6,3.263403263403264,-0.672645739910327,100.5,-3.3653846153846145,-3.458213256484144,88.15920398009949,6.859641187999377,2.8853490395555736
1993-10-01,85.1,-3.950338600451464,-1.7321016166281789,103.8,3.2835820895522394,-1.236917221693623,81.98458574181119,-7.003940552460208,-0.5013861262776587
1994-01-01,83.2,-2.232667450058745,-2.3474178403755874,104.7,0.8670520231213841,0.09560229445506607,79.4651384909265,-3.0730743201155097,-2.440686782266255
1994-04-01,87.6,5.28846153846152,2.0979020979021046,102.3,-2.2922636103151928,-1.63461538461539,85.6304985337243,7.758572073088099,3.794543677241591
1994-07-01,90.0,2.7397260273972712,1.5801354401805856,103.2,0.8797653958944274,2.686567164179099,87.2093023255814,1.8437400446002394,-1.0774843823822544
1994-10-01,89.9,-0.11111111111110628,5.640423031727404,106.9,3.5852713178294637,2.9865125240847945,84.0972871842844,-3.5684440286872343,2.576949585531363
1995-01-01,93.3,3.781979977753047,12.139423076923062,106.6,-0.2806361085126441,1.8147086914995114,87.5234521575985,4.074049339791741,10.140690395439389
1995-04-01,95.2,2.036441586280824,8.675799086757996,106.1,-0.46904315196998336,3.7145650048875822,89.7266729500471,2.5172919236336577,4.7835461505687515
1995-07-01,95.4,0.21008403361344463,6.000000000000005,106.4,0.2827521206409056,3.100775193798455,89.6616541353383,-0.07246319580467286,2.81203007518791
1995-10-01,92.3,-3.2494758909853316,2.6696329254727313,108.8,2.2556390977443552,1.7773620205799645,84.83455882352939,-5.383678628684152,0.8766889681344869
1996-01-01,94.3,2.1668472372697645,1.0718113612004254,112.3,3.2169117647058876,5.347091932457793,83.97150489759571,-1.0173376721731797,-4.058280577881002
1996-04-01,102.3,8.483563096500536,7.457983193277307,106.8,-4.897595725734638,0.6597549481621057,95.78651685393258,14.070263443230457,6.753670569351367
1996-07-01,101.6,-0.6842619745845546,6.498951781970641,104.4,-2.2471910112359494,-1.8796992481203034,97.31800766283519,1.5988584397927497,8.539161586222942
1996-10-01,98.2,-3.34645669291338,6.392199349945837,108.5,3.9272030651340994,-0.27573529411764053,90.5069124423963,-6.998802569033669,6.686371329715279
1997-01-01,97.3,-0.9164969450101923,3.181336161187698,109.4,0.8294930875575979,-2.582368655387346,88.93967093235828,-1.7316263120073838,5.916490410433051
1997-04-01,97.5,0.20554984583762703,-4.692082111436946,106.3,-2.833638025594154,-0.46816479400748623,91.7215428033866,3.127818938237392,-4.243785225789942
1997-07-01,95.4,-2.1538461538461506,-6.102362204724399,104.8,-1.411100658513642,0.3831417624520883,91.03053435114501,-0.753376394597749,-6.4607501352407
1997-10-01,93.3,-2.2012578616352307,-4.989816700611005,105.6,0.7633587786259444,-2.6728110599078425,88.3522727272727,-2.942157423289493,-2.3806355304573312
1998-01-01,87.5,-6.216505894962488,-10.071942446043158,103.9,-1.609848484848475,-5.027422303473495,84.2155919153032,-4.682031015476751,-5.311554413831732
1998-04-01,87.3,-0.22857142857143353,-10.461538461538467,100.5,-3.2723772858517908,-5.456255879586069,86.865671641791,3.1467803837952335,-5.294144661308852
1998-07-01,83.7,-4.123711340206182,-12.264150943396224,98.3,-2.189054726368167,-6.202290076335881,85.14750762970499,-1.9779551341883583,-6.46269602103684
1998-10-01,81.6,-2.508960573476715,-12.540192926045023,97.9,-0.4069175991861518,-7.291666666666652,83.3503575076609,-2.1106315053397107,-5.661331695509175
1999-01-01,74.6,-8.578431372549023,-14.742857142857147,97.7,-0.20429009193054792,-5.9672762271414825,76.3561924257932,-8.391283842093733,-9.332475508115301
1999-04-01,75.0,0.536193029490617,-14.089347079037795,95.9,-1.842374616171949,-4.577114427860696,78.2064650677789,2.4232122938606215,-9.968502413381641
1999-07-01,76.4,1.8666666666666831,-8.721624850657106,96.3,0.4171011470281538,-2.0345879959308255,79.3354101765317,1.4435444790585894,-6.825916124814036
1999-10-01,80.7,5.628272251308886,-1.1029411764705732,97.3,1.0384215991692702,-0.6128702757916327,82.9393627954779,4.542678497441366,-0.49309292062150734
